artist,album,track_name,track_id,acousticness,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
brillion.,Bedtime Stories Pt. 2,Dreamscape,6pMWBwQMFnYIYJdNWrVIxP,0.926,0.593,0.332,11,-17.154,1,0.131,0.874,0.121,0.156,75.255,173631,4
Various Artists,3 Am. Study Session,Contemplation,2m1c8Y2iaOfbuXTlIZfODY,0.899,0.506,0.0963,10,-18.514,1,0.0298,0.171,0.154,0.0523,140.228,195429,4
Flovry,Ages Ago,Becoming,2CStWGYWH8S11Hf9TYwYzK,0.818,0.725,0.28,1,-15.015,1,0.142,0.807,0.194,0.359,82.021,166242,4
Various Artists,1 Am. Study Session,Owls of the Night,6y5TvwKh9BZAPBXnxGxezb,0.346,0.496,0.352,9,-7.771,0,0.0416,0.187,0.545,0.255,78.099,141538,4
S N U G,Moonglow,Stargazing,6Kg7ulEq2BAMcs7XKJzjjM,0.78,0.549,0.328,0,-13.268,1,0.0321,0.907,0.082,0.0843,149.9,174425,3
Various Artists,2 Am. Study Session,February,1Kob6pJjHhsCD9KaUAWfHM,0.697,0.63,0.235,4,-14.255,0,0.107,0.886,0.655,0.106,150.039,162542,4
ENRA,In Motion,Where We Left Off,0Xg2FGSVKMHimjfPTg1q7P,0.586,0.724,0.16,6,-9.243,0,0.0417,0.847,0.103,0.189,79.994,147442,4
Sitting Duck,Wonderland Chapter 1,Setting Sails,1cgny2s6dY6ik573oxpquz,0.839,0.417,0.359,9,-15.403,1,0.0645,0.438,0.102,0.0481,79.488,114000,3
Hoogway,Forever Ago,Same Ocean,0KUpMxBrkqlZkL7LtBpGku,0.89,0.565,0.0773,7,-24.577,1,0.03,0.929,0.11,0.245,92.971,105886,4
G Mills,Tranquility,Sunshower,2SjZQv4cXd8TjBFIu23GOj,0.88,0.356,0.168,2,-12.978,0,0.249,0.928,0.11,0.593,174.395,105766,5
