artist,album,track_name,track_id,acousticness,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Ingested,The Architect Of Extinction (NotSet),The Heirs To Mankind's Atrocities,1H9QRBOKP8xJBqbnWbOxOh,5.21e-05,0.228,0.988,3,-2.103,1,0.203,0.0241,0.0767,0.218,145.034,254413,4
Ingested,The Architect Of Extinction (NotSet),"I, Despoiler",5uRPQKI3J5jVXWg2hkyIS5,1.67e-05,0.46,0.993,7,-2.459,1,0.173,0.266,0.329,0.148,139.92,261720,4
Ingested,The Architect Of Extinction (NotSet),A Nightmare Incarnate,4jn8FhYoD6784EDcUR6jV0,1.92e-05,0.222,0.983,8,-2.345,0,0.147,0.0491,0.351,0.349,94.81,216973,3
Ingested,The Architect Of Extinction (NotSet),Extinction Event,45smf3vBIYp0VxWSka9UR7,9.11e-06,0.47,0.98,2,-1.989,1,0.194,0.00932,0.308,0.208,137.453,243053,4
Ingested,The Architect Of Extinction (NotSet),Amongst Vermin,4PlZKj1MnpQIMUTdCSvZ6f,6.79e-06,0.242,0.98,9,-2.409,1,0.179,0.741,0.524,0.0918,139.979,237427,4
Cattle Decapitation,Monolith of Inhumanity,Forced Gender Reassignment,28kizMSvL3DcCGINWSOUjq,6.69e-05,0.345,0.975,1,-3.573,0,0.251,0.691,0.312,0.163,115.301,233693,4
The Black Dahlia Murder,Abysmal,"Vlad, Son of the Dragon",1MpZtW4yINIqg1qO68EIqx,6.41e-06,0.441,0.996,8,-4.1,1,0.226,0.0726,0.296,0.0419,120.012,176879,4
The Black Dahlia Murder,Abysmal,Abysmal,6fnb2Zp85KF9hZbGSTLvnD,1.77e-05,0.274,0.995,7,-3.109,1,0.213,0.621,0.177,0.0398,170.08,221845,4
The Black Dahlia Murder,Abysmal,Re-Faced,6OFvfAm2ntKqahee23DJNh,0.000195,0.467,0.994,1,-2.712,1,0.121,0.0295,0.426,0.135,104.986,230182,3
The Black Dahlia Murder,Abysmal,The Advent,3pelo5NqJ5McVigVPEozae,0.000144,0.478,0.994,1,-2.754,1,0.079,0.0337,0.469,0.181,101.942,221973,4
The Black Dahlia Murder,Abysmal,Threat Level No. 3,1zFI7KBTOPyJHSy8xUvrPt,2.36e-05,0.451,0.998,8,-3.595,1,0.229,0.00785,0.317,0.0397,122.543,226126,4
The Black Dahlia Murder,Abysmal,Receipt,1KwBn2zehTlpDRuSTVTkk9,4.15e-05,0.472,0.987,8,-4.227,1,0.197,0.444,0.487,0.0501,110.024,242500,4
Ingested,Surpassing the Boundaries of Human Suffering,Pre-Released Foetal Mush,27S8vCgLeuwhCC1IFpOYKt,0.000546,0.4,0.934,7,-5.596,1,0.242,0.813,0.409,0.238,139.767,192933,4
Ingested,Surpassing the Boundaries of Human Suffering,Intercranial Semen Injection,3uFxVe2NoBLotnXUVyqxZE,5.53e-05,0.3,0.984,1,-5.662,1,0.211,0.729,0.32,0.0889,129.045,216013,4
Ingested,Surpassing the Boundaries of Human Suffering,Contorted Perception,0ecL0BwmwoeKSZU7u5LFYN,4.32e-05,0.266,0.978,2,-5.404,1,0.209,0.951,0.124,0.0702,139.578,188000,4
Ingested,Surpassing the Boundaries of Human Suffering,Copremesis,6njXUIAFKvVH0j2wyCOzQE,0.000301,0.572,0.979,6,-6.697,1,0.116,0.698,0.42,0.25,130.011,251373,4
Ingested,Surpassing the Boundaries of Human Suffering,Stillborn,2nHYTFTjgNHcvmsBQJlCrn,2.58e-05,0.214,0.934,1,-5.126,1,0.198,0.169,0.248,0.232,166.516,232493,1
Ingested,Surpassing the Boundaries of Human Suffering,Cremated Existence,4mM1mdHZso1krZxRQ9VVva,0.000652,0.401,0.944,7,-5.633,1,0.154,0.847,0.353,0.193,124.862,202213,3
Ingested,Surpassing the Boundaries of Human Suffering,Condemned to Rape,1DZ4Ja2x5J6GNCqQImWB1u,3.84e-05,0.47,0.947,7,-5.336,1,0.231,0.727,0.365,0.142,134.951,215533,4
Ingested,Surpassing the Boundaries of Human Suffering,Arial Evisceration,5f9irpX4VZ4jCIcfLkRgtV,0.000681,0.302,0.967,6,-6.104,1,0.211,0.71,0.483,0.142,140.371,274213,4
Necrophagist,Epitaph,Only Ash Remains,44BpmdcfqbgqnuaLhjJRbH,6.61e-05,0.384,0.98,2,-6.45,1,0.213,0.301,0.221,0.0675,119.89,251093,4
Cerebral Bore,Maniacal Miscreation,The Bald Cadaver,6IYIM4IWgFuiyPXrTgXQNZ,7.29e-05,0.342,0.847,7,-7.343,0,0.108,0.766,0.258,0.334,164.912,200133,4
The Agony Scene,The Darkest Red,Scapegoat,0M7q1ZAyNBbaZiT7PFwoLn,1.96e-06,0.476,0.993,4,-2.298,0,0.117,0.195,0.0536,0.141,139.989,176467,4
Acrania,Totalitarian Dystopia,Hollow,4V4bXHGCqZXB92iL8oNlbt,0.00162,0.336,0.879,6,-6.678,1,0.0939,0.795,0.563,0.131,129.524,142250,4
Acrania,Totalitarian Dystopia,Festering with Dishonesty,0cK850MMvY00iQntxdyer9,0.000522,0.303,0.954,5,-4.635,1,0.139,0.554,0.354,0.265,119.878,225750,4
Acrania,Totalitarian Dystopia,Totalitarian Dystopia,2Fk8eMw0H247XmU1AHQ8zu,0.000207,0.279,0.925,9,-4.53,0,0.108,0.209,0.431,0.281,95.08,290125,4
Acrania,Totalitarian Dystopia,Servants of Hypocrisy,4LkCMynpgsItt6F4VRa9iN,0.000128,0.44,0.977,8,-4.315,1,0.178,0.212,0.222,0.308,145.046,222875,4
Acrania,Totalitarian Dystopia,Survival Sequence,3Rk6N31PuDuV5lICf9yGhV,0.000264,0.396,0.839,9,-5.194,1,0.0681,0.869,0.229,0.263,170.132,154625,4
Acrania,Totalitarian Dystopia,A Gluttonous Abomination,4ywlVADMEchrtcD15nx2EG,0.000259,0.324,0.935,11,-4.44,0,0.151,0.0951,0.453,0.16,124.575,382500,4
Acrania,Totalitarian Dystopia,"Lobotomise, Dehumanise, Negate",6Pgtsni700HlCPTKwn6xkF,0.000689,0.35,0.924,0,-4.554,1,0.187,0.0478,0.115,0.354,129.755,231250,4
Acrania,Totalitarian Dystopia,Messiah of Manipulation,0Rdz28gFQScnccWNYvrKoE,0.000192,0.336,0.782,0,-4.829,1,0.0754,0.437,0.356,0.535,120.079,166500,4
Acrania,Totalitarian Dystopia,Disillusion in a Discordant System,78NtFzt1vDRkyWSPbIIm4f,0.00044,0.294,0.927,2,-4.683,1,0.145,0.379,0.0866,0.292,139.874,173250,4
Trepalium,Voodoo Moonshine,Moonshine Limbo,7ntOm7rMArRCXKUGs5LPMk,0.000262,0.353,0.981,2,-3.563,1,0.222,0.0243,0.326,0.493,203.804,226531,4
Dimmu Borgir,In Sorte Diaboli (Deluxe),The Chosen Legacy,7L1WEyY6qCMa0D7IkcPxoK,7.28e-06,0.201,0.94,7,-3.59,0,0.103,0.105,0.0838,0.1,149.922,258987,4
The Red Shore,The Avarice of Man,The Seed of Annihilation,0lfO6FmEertzk1DuQ86Alj,0.00402,0.428,0.943,10,-6.315,0,0.144,0.882,0.759,0.109,79.991,252933,4
Martyr Defiled,No Hope No Morality,Demons in the Mist,4uOgK9jn7C66cXnmCpvVDF,1.3e-05,0.388,0.99,10,-0.692,1,0.0756,0.0228,0.352,0.171,165.05,250497,3
Cannibal Corpse,Torture,Scourge of Iron,1OnzKhDTRQ8sGoUvkUHgO4,0.000539,0.446,0.977,10,-5.009,0,0.102,0.376,0.119,0.305,171.994,284400,4
Trivium,Shogun (Special Edition),Kirisute Gomen,5oELEE5XmqWw9gIFsb878g,4e-05,0.207,0.982,11,-2.623,1,0.251,6.1e-05,0.112,0.126,198.171,387400,4
The Dialectic,We Are Obscurity,Dark Archon,7cZFeHkZEoeyRsbDE56QgC,5.15e-06,0.534,0.925,10,-2.169,0,0.0479,0.889,0.153,0.192,150.017,172852,4
Trepalium,Alchemik Clockwork Of Disorder,Sick Boogie Murder,2jKhXWlPIVoJCHVdjTAoux,0.000257,0.352,0.883,1,-5.218,1,0.089,0.777,0.0388,0.42,100.269,201453,4
Abominable Putridity,The Anomalies of Artificial Origin,Remnants of the Tortured,5ta1WnrCYimokIrEKlfTJc,0.00105,0.352,0.99,11,-1.683,0,0.249,0.856,0.0808,0.07,121.856,240000,5
Aeon,Aeons Black,Still They Pray,6HdjdwU8SbpUQ6ebFexocx,4.3e-06,0.298,0.991,10,-4.561,0,0.234,0.875,0.349,0.0868,199.943,228573,3
Abnormality,Contaminating the Hive Mind,Monarch Omega,5RbqNB5HMFkyqXLDdxn0jP,6.61e-05,0.261,0.97,11,-3.248,1,0.182,0.828,0.0932,0.344,142.087,196850,4
A Different Breed Of Killer,"I, Colossus","I, Colossus",4NPQbmhYInLBbhJ9xTGuVw,0.000153,0.31,0.954,1,-5.628,1,0.121,0.00179,0.412,0.231,107.029,248000,4
Suffokate,"No Mercy, No Forgiveness",Not the Fallen,3qgmgPq1g1QvzL012Uf6Ht,1.26e-05,0.243,0.937,6,-3.875,1,0.146,0.575,0.0981,0.246,139.911,235893,4
Behemoth,Zos Kia Cultus,As Above So Below,6RxzW1gYB5qCWGl2fV6bdb,7.63e-05,0.36,0.942,10,-6.308,0,0.139,0.00456,0.0701,0.194,99.99,299227,4
Cannibal Corpse,A Skeletal Domain,Vector of Cruelty,1lNWDDB5XXbZ7rRqcdDdFj,0.00384,0.339,0.991,10,-2.403,0,0.176,0.00645,0.574,0.217,113.374,205147,4
The Agonist,Lullabies For The Dormant Mind,...And Their Eulogies Sang Me To Sleep.,3QRfSrXGiMvety2AxLfmAm,0.000435,0.289,0.993,6,-2.867,0,0.243,0.334,0.409,0.0524,123.71,212373,3
Spawn of Possession,Incurso,Where Angels Go Demons Follow,6dlWHhp0U47m1vQW8YMrxe,5.64e-05,0.523,0.979,7,-5.263,0,0.0679,0.875,0.163,0.155,119.99,338373,4
Make Them Suffer,Neverbloom,Neverbloom,6BZ39HmIAxI1wNfExKXC6z,0.000505,0.256,0.986,10,-3.381,0,0.202,5.14e-05,0.311,0.0825,112.438,394173,4
Daath,The Concealers,Day Of Endless Light,1cyR8gRYOU2Dh9AXsT95xw,6.99e-05,0.39,0.938,1,-4.45,1,0.0698,0.847,0.0934,0.389,98.281,253147,4
Annotations Of An Autopsy,Welcome To Sludge City,Gore Gore Gadget,4CPMMbe2qzW7CKZoTunVlX,5.62e-05,0.358,0.956,7,-5.007,1,0.134,0.485,0.048,0.202,140.173,224320,4
Within Destruction,Void,Void,02JxJbVrolO2Ct8WYqVPIP,4.38e-05,0.202,0.962,9,-3.583,0,0.157,0.864,0.0292,0.154,159.814,217107,4
Infant Annihilator,The Palpable Leprosy of Pollution,Cuntcrusher,3aMtI7WH9U7665smabqYlj,4.22e-05,0.267,0.975,10,-1.879,0,0.152,0.618,0.073,0.151,129.999,298880,4
Burning The Masses,Offspring Of Time,Immersed Entity,0eXC457K4sjVYe7MknFKBm,0.000584,0.216,0.956,8,-2.64,1,0.218,0.612,0.349,0.154,200.379,295213,4
Metalocalypse,The Doomstar Requiem: A Klok Opera Soundtrack,Blazing Star,53EWgmPtOFvV6CAaMnGxkc,8.05e-06,0.457,0.929,5,-8.633,0,0.0582,0.876,0.103,0.371,159.971,276827,4
Cannibal Corpse,Torture,Demented Aggression,1sMjMI1vVaA70dTxh4tucZ,0.0025,0.413,0.996,6,-4.841,1,0.173,0.596,0.0651,0.27,149.982,194467,4
Cannibal Corpse,Torture,Sarcophagic Frenzy,6ykdfUPO7cWprVUjIbIgwI,8.2e-05,0.285,0.993,6,-5.266,1,0.181,0.679,0.0927,0.0868,117.372,222880,4
Cannibal Corpse,Torture,Encased In Concrete,4yI7b8n6h54bp7UQ1z8UBT,0.000476,0.263,0.996,10,-4.436,0,0.136,0.269,0.339,0.198,134.886,193827,3
Cannibal Corpse,Torture,As Deep As the Knife Will Go,6gzTnhzE3WL6RNYs0EkkIY,0.0001,0.491,0.985,1,-4.539,1,0.0946,0.833,0.322,0.168,96.069,205787,4
Cannibal Corpse,Torture,Intestinal Crank,1im3Off2qbXcOL1bfTQVaa,0.000183,0.209,0.993,6,-5.121,1,0.33,0.823,0.154,0.3,148.154,234773,4
Cannibal Corpse,Torture,Followed Home Then Killed,5hHlnflNWv3mjkbUghu22V,0.000357,0.251,0.993,10,-4.789,0,0.238,0.605,0.31,0.14,100.994,216547,4
Cannibal Corpse,Torture,The Strangulation Chair,1XoDuQWETlzKgFgBNru2xk,0.000546,0.301,0.968,10,-5.131,0,0.211,0.4,0.0874,0.279,123.912,249520,4
